id,PBE+MBD(eV),MACE-OFF23(L)(eV)
8068835fc81591d,-195073.938627856,-195104.62031731836
22728ed7e439688,-195073.827026775,-195104.66434954942
efea8906e3c8fc2,-195073.809191403,-195104.51817811458
ff2e151373e74fa,-195073.780514197,-195103.89659057165
c0271a812c12a78,-195073.699691178,-195104.7352248107
ab8755cb0f9aafc,-195073.606754636,-195104.9668716643
702cdd2286218b8,-195073.576832819,-195104.53005639673
536b898dc689a76,-195073.507190287,-195104.34044150417
cffa3ed20eb9f2d,-195073.478248813,-195104.39292555486
4fbfbafc8d3a571,-195073.472915149,-195103.75880430252
47285a988293f2b,-195073.443020584,-195103.98930648225
e8800fd52929b2a,-195073.429020828,-195104.4295286697
8f2045acfa1603d,-195073.427512795,-195104.93181418334
ea403936c559ad,-195073.416554534,-195104.42569884687
6d994560518f7a1,-195073.407485978,-195103.65834353666
18daf237894ca0b,-195073.346980443,-195104.92625471242
21b7c68408cbd09,-195073.327531632,-195103.70068238446
b317c8bd3fd8b24,-195073.323305446,-195104.21976110103
35751f404ffb262,-195073.313073958,-195104.15060410358
1f3bae72040258b,-195073.283286283,-195104.28249413162
6473381f07c02d1,-195073.27314105,-195104.3200938821
70abb5664410cdb,-195073.26312282,-195104.04182957046
fb11823b6d6a640,-195073.256784977,-195103.94270219747
e787243d1fdddf7,-195073.237527086,-195104.1252626755
dc661c95aa10c29,-195073.224878123,-195103.9266226646
a4f667988cc1dfd,-195073.219326358,-195104.54634122262
5c71b8d12d6ef1f,-195073.212414643,-195104.14319442507
900f9b94fecc650,-195073.203599179,-195104.70278956572
e35265d82c63468,-195073.187371911,-195103.98068854233
63a3c4aade86e0a,-195073.187343761,-195104.0821331124
33d050922344203,-195073.183251919,-195104.78160579276
18ecd32dbe30a44,-195073.178316067,-195103.99814643565
d5ba0f448d6c303,-195073.177865773,-195103.84065921712
13e32ef3bb08e8,-195073.167734639,-195103.78601784684
940ee155ce2fe0a,-195073.157509053,-195104.03694773818
e3de97a2e6c681,-195073.157053997,-195104.02714411938
689b75ce4be964a,-195073.14901991,-195104.36654002464
1c404cd67e34315,-195073.147632885,-195103.65393441936
24d1b6094f01060,-195073.143423208,-195102.84986262137
a18172ec98bcc2a,-195073.129961798,-195104.39705116287
e3cab844e9ab181,-195073.119907365,-195104.01728242848
d69b6649dd4a78f,-195073.101742296,-195104.6016121117
42f11281ab70016,-195073.096779698,-195103.93880655733
dbbe8c22676bd07,-195073.094277832,-195103.88063734345
a3348bf91902796,-195073.083095653,-195104.1059858935
d7ee4f02a9d5d6b,-195073.067577652,-195104.0720697135
5a616b99acaae63,-195073.054902841,-195104.15014964464
a42b2927ebdd205,-195073.051633843,-195104.66772047733
5e135d7c815bf93,-195073.040712492,-195103.30096428236
1b0fb933b4c368e,-195073.03056712,-195103.80630346428
5bbdbddc5bfe2c6,-195073.030113715,-195103.77807202179
c817fe610f1ed2f,-195073.018121114,-195103.6745887428
ca35756e2934bf1,-195073.017107688,-195104.18260607685
bee46e93af96fde,-195073.010501599,-195104.08458795657
d342669ddab7c3d,-195072.988336795,-195104.01640771137
f60504ff7523be2,-195072.986502376,-195103.8700808417
a2d8c5f7f5995d7,-195072.964551202,-195104.023588587
8eb22570cdb1ca4,-195072.954843733,-195104.11355585037
2d309be35dfb5b0,-195072.953634911,-195104.14526769743
943c4498e98ba29,-195072.930174884,-195103.86260637274
411aec1bd1bdaf8,-195072.926347503,-195103.81622034335
4fbbec3f35f2427,-195072.918123567,-195103.6418668945
f21236953194d18,-195072.884495233,-195104.20591457753
cfdab422f36de49,-195072.846091202,-195103.60404002512
51183070816409d,-195072.842145677,-195103.63353160676
e67e15d2256cd09,-195072.829421646,-195103.7192984505
5b662c99e4ceab6,-195072.823033811,-195104.16670891072
bbbeaf3db18ae5,-195072.811925671,-195103.96309383656
95d79173f8f03ba,-195072.806443057,-195103.49113639825
8e4edc9253d9e30,-195072.804953566,-195103.38222669344
56f3650b40df9e2,-195072.798420503,-195104.14324567636
c1590f58a0f4efb,-195072.794236287,-195103.51487760086
