id,PBE+MBD(eV),MACE-OFF23(L)(eV)
8c841e22c18e088,-138356.807507641,-138382.1109821673
314d0c2b59e26e1,-138356.667198569,-138382.34046818138
d7743378a00ee9c,-138356.619915501,-138382.23632293168
8fdceff6bde014a,-138356.033918207,-138382.6425086017
7485ba5c27c7f33,-138355.962796683,-138383.54179657815
eddf6e0ca6cfc4d,-138355.843099484,-138383.4302500063
4a5052ea346b35b,-138355.720459294,-138382.8362290226
6a28694e60f4c53,-138355.69881149,-138383.15262835546
ffbcaccdf86e410,-138355.610921528,-138383.19142014557
214ce4633dd3c1,-138355.255829129,-138381.78496375962
639847c64eae892,-138355.252632157,-138382.73216438436
f8fe75b48d1f8e9,-138355.075241909,-138381.26151337964
56f4ea17970cd7c,-138355.034367971,-138381.24119900216
b26dc907d746fa0,-138355.029685628,-138382.32507229998
bfb85a58188eed8,-138354.974200621,-138380.70061641934
d186bed8564a99c,-138354.952702398,-138383.71445522562
cb2e0b7f33c54a7,-138354.941068462,-138381.12912534233
334f0114690c648,-138354.939000821,-138383.59247674217
8548908f1be095b,-138354.938689344,-138382.2306696627
d9edfa008989b93,-138354.897625612,-138381.71813713113
fa06c66d34b7cba,-138354.893824645,-138379.177891477
4905810358a1fde,-138354.892116909,-138380.5978302026
ef0001bb16db22a,-138354.889490108,-138380.1322072352
326f7032905e73,-138354.889076087,-138383.05700295174
94b3f42e1218776,-138354.769428371,-138379.3919600267
1ca7ad0f0e267a4,-138354.661079288,-138381.33820503982
645d02b32851a5f,-138354.65758249,-138381.79933529295
61e2bb4029eaa8c,-138354.627693176,-138382.96839708652
cc0d66f3d060c56,-138354.464040168,-138380.53429719777
36fae29ba76398a,-138354.379390227,-138379.95667748258
c7013b46c135dd,-138354.376236276,-138380.64815289667
e667e3730b611cb,-138354.324325945,-138378.48717001954
3f45f6a227c5bed,-138354.31388938,-138381.34202039213
280f8f4508c3038,-138354.279862626,-138382.22144018227
7e2f12d7bcc4d4a,-138354.278465533,-138379.66377880145
d0e818ecd8187de,-138354.244592038,-138382.07187363613
4652cdb40caeb7a,-138354.224990046,-138382.21410365324
cfea460fa0657ff,-138354.192503979,-138378.5153712079
d54598489836968,-138354.102821031,-138380.8302102804
b6fa7e46ebaef52,-138354.099411635,-138377.93843315876
9b37e6eeab96e9a,-138354.089099168,-138380.22704335427
d680833fc75278c,-138354.073335152,-138381.77266553114
2d7a4408e4d8d3f,-138354.026093354,-138382.28992597014
13c9ca1ac6849e7,-138353.965772673,-138379.81966997468
885f6e6c2b6d2c5,-138353.959576346,-138381.1113566993
b97206a4e05dcb7,-138353.945493432,-138380.84100262652
34ad7124dd6271c,-138353.914866983,-138379.92153370037
360863b3e0eebf6,-138353.887374345,-138382.4975421111
365b0d2f4cd2ff0,-138353.87127668,-138380.17723494046
7527ef691eb71e0,-138353.861202961,-138380.37987782076
ca0012f7a6d945f,-138353.848487941,-138379.3590324302
aa80efa0773ff5e,-138353.846833055,-138380.00798114375
10e6e6ca74219e2,-138353.82904814,-138380.1969520796
ab892cde7b419ba,-138353.820744483,-138380.84971705842
2abab8669f2feb8,-138353.800982887,-138379.6504183568
42969cff9201230,-138353.786809337,-138377.61148601145
403a9608652dbd0,-138353.786774249,-138381.97372446748
9fcb4df78f2e6a,-138353.768511223,-138380.99892999584
5789e960928dcb4,-138353.744794868,-138380.75539044043
347ad18b354414b,-138353.72661599,-138381.89068916958
5ffd5d5d9cce03b,-138353.709630213,-138380.82723633942
ab1e6e5f5d11b23,-138353.669809894,-138381.0818569655
58a1d7f4ba6244f,-138353.642259339,-138379.47709420032
afe8debb3e1ea70,-138353.638701044,-138382.06520960078
25189b4521086e8,-138353.608127643,-138381.82745044507
8a90bfadf0c41b4,-138353.57260323,-138379.90741208743
6357983d1e6f2e9,-138353.571798226,-138380.1692109558
8e02b905f87d325,-138353.559031983,-138381.85588009187
3410c8549608b60,-138353.519181636,-138380.18690337276
1d20349646922d6,-138353.46102413,-138379.88202270327
520119ad190db58,-138353.407992971,-138378.949174703
24578755f86f15f,-138353.354756633,-138379.30288483266
30eade37b6fe7ea,-138353.278194047,-138381.75818831756
ae8d0281f6b727,-138353.17668909,-138379.1468240676
5b296fd113bfe02,-138353.113087395,-138379.13503744017
e344165ae6f9591,-138353.108674067,-138378.9180788068
81fbefb0eac081,-138353.105730788,-138380.70807642138
4e38c2bdc97697a,-138353.015437468,-138379.77518148304
be0072be0ea9fc1,-138352.998965525,-138379.65541283137
5223231ad5359e,-138352.873653364,-138379.4002487666
2170beb630d1fc,-138352.834264798,-138380.3530644598
fabcc696c34e1ff,-138352.792447624,-138378.65923097119
