id,PBE+MBD(eV),MACE-OFF23(L)(eV)
187ac946e2806d2,-195468.970345148,-195500.71601014977
5af6d011a98caf2,-195468.014337887,-195499.34163131102
f79b17aefba91fc,-195467.803634209,-195501.14082912958
109fa9b4d8bea23,-195467.675421637,-195501.08681106463
7ff217c351720fa,-195467.660941875,-195500.6603949252
2ac3f0d3aea285c,-195467.646775246,-195500.7433380726
6a97fedcb583952,-195467.611557015,-195500.33842202023
e2de3046001176c,-195467.604143566,-195500.39718874687
519e718734c119,-195467.581406425,-195500.37089834857
6403b0e84f35764,-195467.57454356,-195500.51640308136
51dd85fb4164b76,-195467.46713511,-195501.15929188574
9418204fd011690,-195467.333830767,-195500.91077799935
ce6c4e0493d935b,-195467.29485688,-195500.05094703427
c549a8d3a81320e,-195467.20532998,-195499.1423916287
f955a7dfcb3bb37,-195467.12158124,-195499.9112369172
c5e248644a4a8f6,-195467.062383149,-195500.91062024012
6febefd2ec32824,-195466.95937606,-195499.74801114204
27834310822a603,-195466.94926924,-195499.99813519832
1afdcb022052021,-195466.910535306,-195500.3300860082
77dc9363d79f7a1,-195466.875895572,-195500.7116408571
af3f6a5ad5912b8,-195466.844273569,-195497.56942197584
251ef947ed75004,-195466.804650221,-195499.95844463105
69af43609335ab,-195466.796086431,-195499.2112230513
b8dfd14a23b7495,-195466.783387696,-195500.09050384656
cdf844007295e42,-195466.70514401,-195500.02046128386
ea90a8fd66b829e,-195466.700669967,-195498.7472608301
5869a2d2739389,-195466.692298608,-195500.31001898219
5d3fd98c34c769f,-195466.683512496,-195499.66244098145
b9ab85a08f84098,-195466.678612579,-195499.87574200254
8215070dce48c19,-195466.674062832,-195499.52115813576
69d277fa2c8fcc7,-195466.651247611,-195499.43280248405
b7a4695ca75a6c1,-195466.494815003,-195500.49788283743
d1565f1ed8b2682,-195466.47075565,-195500.05401884406
5ad939699b3602,-195466.462291885,-195497.04339163424
9d551a645a6ba07,-195466.450925449,-195499.99875942428
7778d4931594fdf,-195466.428668968,-195499.45343616293
995189fcfaa4047,-195466.357040539,-195499.54195936306
147f155fba7f00e,-195466.355011143,-195500.0429547249
d5021cdf1bf7e3,-195466.352587351,-195499.85053492716
d5e8a16be50a9bc,-195466.335277347,-195498.19519899666
92e97fca48f39f5,-195466.309379527,-195500.49856135334
cf391a8535d5752,-195466.286797201,-195500.75507495712
721dea3f63f23d0,-195466.249780347,-195499.49222076396
695140e18004d45,-195466.211272313,-195500.09263082495
c3aed0416ce9e2,-195466.201838628,-195498.65580153052
cd613e3d8f16adf,-195466.194580826,-195501.30185139301
4ce5f567ee3006c,-195466.187035401,-195500.16578139432
e64d1bc702753a1,-195466.18694499,-195500.32414158483
3df64d73b5cbbf3,-195466.114738508,-195499.83552273264
9eb8ba823a14258,-195466.025561186,-195499.9927272041
43e8803b65b724e,-195465.953832503,-195498.62675122867
1027c4dc386bbc4,-195465.89569944,-195500.3450399958
3d5350b86232efb,-195465.828667576,-195498.2778698442
5af9b47fd9301d0,-195465.805795023,-195499.86075763943
328b99dfc33da0b,-195465.793725433,-195498.48743474943
b974a7d6eec77e7,-195465.776887862,-195498.6878197485
960d5a89a656aaf,-195465.751986524,-195501.2399968755
d3addcc2c33be0a,-195465.747222773,-195499.33802436377
4a7a0302d733dcd,-195465.704977836,-195500.8180616346
303a07b8f2df760,-195465.704055117,-195499.63098886714
25c8a3ab1061ff3,-195465.669956728,-195498.68970072494
ef9b6bfd037fe2e,-195465.66641047,-195499.50878775178
8e1dfcfb2c94580,-195465.615924137,-195499.98981462812
dd2467a778eedb3,-195465.551102662,-195500.66940912526
885f6e6c2b6d2c5,-195465.50251705,-195500.82679138167
7cd07f1e3f55f65,-195465.494116161,-195499.83665620125
b01dcce2a41c4bf,-195465.489163569,-195500.69966949863
1bc04c80190cbe8,-195465.477839035,-195499.4969623454
b51d6eb420ac584,-195465.475933879,-195500.2413078803
a9d2db71f718841,-195465.357554886,-195499.57923630133
cea0e43c77f510b,-195465.351834211,-195498.25597228005
30ae3eff9a92753,-195465.345564446,-195501.0320167447
52bebbaba5d0600,-195465.310421973,-195498.10921878423
811faf0dbffdd18,-195465.284123766,-195499.317133967
2e8a1f62675c5f7,-195465.16676992,-195498.4201044052
b0a84cd1be38ac1,-195465.060039946,-195499.00599560636
1f094d36ea7b51c,-195464.955475646,-195499.21160260326
9409f4486a6ef82,-195464.905752357,-195499.28984238152
67972b910daeaf4,-195464.475404666,-195499.07975914734
878d1a7ab1a23ea,-195464.222794051,-195498.94890181188
719ec9653032ca1,-195464.059499474,-195497.88585404845
d45c0a650a36289,-195463.967835238,-195499.32447507948
351041165eef91a,-195463.922266405,-195498.00705586438
e350803e5732f42,-195463.919704946,-195499.31616901816
b7f99c3366df5e3,-195462.803613905,-195497.48900870606
f06ea8fb67bfffa,-195462.674772729,-195497.8642462484
d70fcd772935e9c,-195462.628608156,-195497.88300976026
d96e5ada2beee31,-195462.554367466,-195496.1450849588
c4a9bc1d3dc1261,-195462.413410309,-195497.70903599175
