id,PBE+MBD(eV),MACE-OFF23(L)(eV)
a9defee919e434,-66921.807662377,-66964.31613457098
7ad497ba4629f44,-66921.616277726,-66963.86120050945
9a99e8b3bc4b11e,-66921.576263748,-66963.95079501001
48e7601d4742af1,-66921.569219976,-66963.930226648
811850b5b9834bb,-66921.5023410315,-66963.85144925238
730eaffdfb690c0,-66921.466624471,-66963.93184120959
1935b788ef02376,-66921.462647814,-66962.87276725682
3282f8c9ebd7bda,-66921.448987794,-66963.84233491826
c729a9fe37bf35d,-66921.443270938,-66963.95573143748
697d6049f00ce15,-66921.380777567,-66963.90262452695
e5bcde8bcf78987,-66921.343570115,-66964.07098340959
5087121f4de8672,-66921.315932674,-66963.61041634466
79dc55e1dcdfef4,-66921.3131510547,-66963.69374701868
b1523f2f97494f7,-66921.2932532208,-66963.61270493171
2503cf84161d766,-66921.2913964636,-66963.48422739058
2b3c0057b0d856,-66921.2791417893,-66963.96119610491
927e1806071917d,-66921.270563246,-66963.96832685676
3b08cd19ca9c914,-66921.252197061,-66963.39741287002
70c9540c25d1d5d,-66921.2410265374,-66963.58573774497
5578010c9a88373,-66921.2397934014,-66963.39016006485
e9c536bfd8d46c5,-66921.238424587,-66963.81045575425
f627a401e162fa3,-66921.1893943922,-66963.501948541
94bdaffb567360b,-66921.1664820173,-66963.45009573305
774a66824f95efc,-66921.1560269,-66963.2714002387
aee2a6b41d7a5bc,-66921.151412095,-66963.58180815716
d1df274ba3a44b5,-66921.134871409,-66963.24041767932
70bfe635be1016d,-66921.1337758655,-66963.73800309162
99dae69b730afe8,-66921.1278250757,-66963.29246031767
8d04cc03af7308f,-66921.1225620035,-66962.99838651119
7e980876516db2d,-66921.100819544,-66963.14818463521
f0a3a265408ff2,-66921.096700901,-66963.49163175504
df32809f0448dec,-66921.086544583,-66963.20781633329
85219b8a3c775a0,-66921.072405556,-66962.83974818928
21cd0972f927438,-66921.043330204,-66963.22896101505
109f70e8c7df5f2,-66921.0390494256,-66963.28213478789
dafba7036c181bf,-66921.0310862577,-66963.17414274946
71da93e823ad9ba,-66921.0139250964,-66963.02693706886
e2f75abce4f6882,-66921.0095186685,-66963.46479966078
41162cc35f9704e,-66921.007715232,-66963.41331001327
99dba4c0e518f5f,-66920.996335948,-66963.24049035078
443d07367032778,-66920.9940435506,-66963.2843727198
a28879cda65253c,-66920.973177804,-66963.43190857457
f961ea907d1ca8f,-66920.971614969,-66962.4991207776
2d1724a5b269106,-66920.969665128,-66963.2227018402
7a79a5c0f90406f,-66920.9686374488,-66962.99527834002
7133d6e8901467e,-66920.9233772556,-66963.20127848888
1eede9a9bfacdac,-66920.913142243,-66962.9906668311
e0b628733faec49,-66920.912159294,-66963.10401295267
b08b7087bd96f21,-66920.881318785,-66963.26543172458
6eb034e0dc61217,-66920.8622998579,-66963.13785432256
61eb6fb8babadb6,-66920.8525021781,-66963.13518565407
c6400a51ddace9f,-66920.8507263384,-66962.84167226586
3eabedcbaa80dd4,-66920.84741683,-66963.07960851087
4d0b7237d0b6de5,-66920.8109458653,-66962.40118357248
af482e61e9c320b,-66920.8108779129,-66962.86333696518
1d2a69a643c2c1,-66920.807840616,-66963.02200595904
5092df6a5daa44,-66920.7954081135,-66962.86683180206
7eed53aae9e9fd,-66920.7526724429,-66963.3507952981
d24f6fbaa11de29,-66920.732471638,-66962.90298817464
ace6d2efcdbd664,-66920.728671982,-66962.92336966695
c7518caa5659aec,-66920.721522267,-66963.07602501576
b2485ac076e4cc9,-66920.6778024485,-66962.3956203207
1e526f6fd97eba5,-66920.6260331735,-66963.04729001556
4b0822e156809ab,-66920.590258974,-66962.46459720291
d1320ed87eed9f8,-66920.551850132,-66962.63539102215
42a8c8cad8fc3e8,-66920.5464432301,-66962.08793194439
480fcc3948b1ad1,-66920.5326369217,-66962.91962134668
fa222bbdbf52dd7,-66920.5260835815,-66962.77049077665
4cc6931f53e59bc,-66920.5240020341,-66962.81191029424
42fd48b3f35ffdc,-66920.5223653595,-66962.91623181952
bc9246c7e77b091,-66920.5108184235,-66962.82478842666
976feda48945af1,-66920.4989031894,-66962.96939549527
2da4d578b71b00f,-66920.4534500508,-66962.62952935338
2d17a357d3eaa32,-66920.453279288,-66962.43017203557
b51207b6368e932,-66920.438369558,-66962.26831829389
2a56766b88ee016,-66920.4132785745,-66962.60390080171
5d823ad5c4f694a,-66920.4017941321,-66962.75464138409
4e900eeb63cd806,-66920.3670240451,-66962.79741349601
7b729288951d84d,-66920.34621001,-66962.36308241151
36b6eedecb4b274,-66920.3077910717,-66962.43141572035
81d0d96dc957884,-66920.3045718687,-66962.63889856887
52b6cc026bc31b5,-66920.179133897,-66961.95758008568
bf260d3d8e1cc7f,-66920.156642412,-66961.95199404907
76993e8e74c2174,-66920.1224077929,-66962.24204766579
3c05cb69009e0f5,-66919.9724108568,-66962.36428544787
76104764f647069,-66919.9672891669,-66961.88301074512
231741ced02b12c,-66919.9102088217,-66962.2249822488
2ec886f4e391016,-66919.7563759529,-66961.70468495906
af9cce730230555,-66919.663805378,-66961.36107237377
