id,PBE+MBD(eV),MACE-OFF23(L)(eV)
ff992a279010333,-187561.309223957,-187099.0470890987
e23175197bfb2f6,-187561.305104863,-187098.9940641194
5a00231a50a450e,-187561.24568585,-187097.98704576772
723dd2506db8bb,-187561.149567898,-187098.9387199566
88dea3cab525d71,-187561.121987401,-187098.80773905187
2a073ef56a460e0,-187561.117192948,-187098.8340913097
943fb55321d52cf,-187561.104271712,-187098.87415338255
5c77efdcd314bdc,-187561.097110842,-187098.85450782414
10792556461b816,-187561.095246542,-187098.69437995792
3bba9fb96961ac4,-187561.059007845,-187098.5381152923
1cda89e9f6433ff,-187561.012529257,-187098.51989521796
1eec33342767ad4,-187561.010749024,-187098.6434808584
7b97c61272070ff,-187560.976941699,-187098.62559254334
cad5e29e6b1e665,-187560.969683369,-187098.51999920027
cfb08b7c9f81590,-187560.965616024,-187098.201226622
580fcfba54c612b,-187560.95378193,-187098.17568917735
e857a3185c5dba9,-187560.936747039,-187098.08883481828
ebe6a13656232ff,-187560.936033774,-187098.53311433078
7db493c24664ac7,-187560.926086252,-187097.74132804107
95a9b7863681175,-187560.920993496,-187097.7489762071
af4d69f998bfe31,-187560.915359016,-187098.59805081724
12780ac7e7ee6c4,-187560.915223395,-187097.67730329992
50897418e6cfa60,-187560.884588318,-187098.4456665809
bcfaa6c18708de,-187560.866570294,-187098.11852692527
52f6100bf83e23e,-187560.862066006,-187098.25679064792
1aad98968a91537,-187560.861678838,-187098.38496667932
f73754dff4caa5d,-187560.830585403,-187098.16274569588
c78193d1ef91954,-187560.816931541,-187098.60803085528
1f4261dfbab80b6,-187560.80101398,-187097.92202866598
7ce1dd70d94f123,-187560.789255103,-187098.42512687444
1fb6b81c820a4b3,-187560.760149904,-187098.35538529052
ab2459513327c9a,-187560.75072008,-187098.47351478398
bea380b7fc4db4c,-187560.738142263,-187098.11798569906
b74ba47b7d4ea02,-187560.731776975,-187097.80042143064
a8946df6f3659ee,-187560.704375186,-187098.4039560567
3f7bd8a77523dac,-187560.691941006,-187097.60125052626
b5572ec05adcf7a,-187560.663016445,-187098.2748290165
a93250e8da49b74,-187560.643848921,-187097.9997901047
17c3c92c765cf,-187560.631826029,-187097.82681377293
541aa45ae1e1d03,-187560.624924039,-187097.74037189528
c042d1839b668c2,-187560.608529078,-187097.99905541525
840d370702aea71,-187560.608465147,-187097.6555774716
5039a563c4e975b,-187560.604644499,-187098.19574338483
eba51e83df5f0f2,-187560.600806999,-187097.80333041085
b64534c2e6f14d5,-187560.598023566,-187097.69886486413
4f29902e5f3b3a6,-187560.572618652,-187096.77737991457
af041c466235aa,-187560.569372,-187097.7771795631
d63099f0e6055c0,-187560.559929332,-187098.66799824574
429d34c0efa2cc6,-187560.556529513,-187097.92694373385
b3d5d3952402c3d,-187560.539254462,-187097.9006939241
8c4fb32384bfcf5,-187560.525737936,-187097.70372845005
5670bc33c6ad44f,-187560.514882765,-187098.2067721332
5c422bd8a51598,-187560.51424034,-187097.86476189256
d322a733ead4efe,-187560.509611376,-187097.69710186377
acfbec6819fc62f,-187560.491051666,-187096.937471054
64c7d4810531751,-187560.481234666,-187098.2516823681
d8dcb3594c662cd,-187560.478007863,-187098.31672167205
deb749770cbe9d2,-187560.46936736,-187098.37606631036
d3834b0993fab1f,-187560.466813568,-187098.0769039301
e7da77d00c70d26,-187560.458251567,-187097.07734754912
27833e83823fb23,-187560.454823302,-187097.86377235892
42ecd60d5c7a45,-187560.453665408,-187097.64283829197
84e617d5b1b36fd,-187560.453419758,-187097.42453631258
f0c7819e8fbe61a,-187560.448478632,-187097.818007654
2883c6cc078a81f,-187560.439678619,-187097.87245851583
83cb40f300e160,-187560.42892451,-187098.02585580773
4b9dbc2201b1a28,-187560.425646666,-187097.5944647701
c7c7664a07294b8,-187560.42078036,-187098.00176273135
40065409d102a4f,-187560.398554404,-187097.80056315725
3d436fda3d0632c,-187560.385001776,-187097.40264841006
5f257ea0302bc35,-187560.346275627,-187097.79872239305
88ebd7dd34cf277,-187560.338941749,-187098.0675957708
1ed5dc0f42fac43,-187560.332565414,-187097.24597012383
5cf1e41d17067d5,-187560.331511231,-187097.51145725866
4f1ec1aa7cefa3a,-187560.296650375,-187097.90477497058
aa13e67740c47e6,-187560.282615362,-187098.05196017044
2e7d7b3d40438d3,-187560.22436039,-187097.7184274361
7951cd22f77399f,-187560.215376547,-187097.53342164445
ae83824234ff4e0,-187560.210915205,-187097.20006274252
c328f887693a3c8,-187560.163739064,-187097.85214954798
ef5fc74475ca89f,-187560.150450376,-187096.9074500286
8ec86d65539b994,-187560.112052077,-187097.7990347197
b478bc16e93a381,-187560.068962454,-187097.31579617359
969dfc66cccd724,-187560.05738703,-187097.61752915007
9de9491596421d1,-187560.053770975,-187096.67814786997
f6095a83550ae2e,-187560.047579488,-187097.33288877667
16de16a415a51ab,-187560.039206107,-187097.29777215442
56d2091c022eb17,-187560.032893558,-187097.25161074562
944e5445ff4669f,-187560.031345439,-187097.75105485588
e0495488a0a8c96,-187559.994409576,-187097.71226460728
1492044a4807b93,-187559.991152768,-187097.76243832018
9b2ba44816a5da3,-187559.96976436,-187096.95600037288
ff9187c49a87728,-187559.940174483,-187097.59426884438
edebfc8f0f2c2c3,-187559.875872348,-187097.122794449
f4dc2a839c6b700,-187559.866033109,-187097.82454525254
1c5a7b78611ab23,-187559.86303971,-187097.13848389496
c1f6298539b125a,-187559.834268531,-187097.3389539325
ba943f1da9d74a1,-187559.828812418,-187096.69883129382
d8112ce8755e41b,-187559.810961624,-187097.4488413904
caa8a1d95f3cd5b,-187559.775999088,-187097.17526605944
6be50be3de399d1,-187559.627948996,-187097.20499431412
e7c91890eff64ee,-187559.617871948,-187097.0804230761
b1478a251c34185,-187559.501895206,-187096.97674240274
5ff2fb4407eff30,-187559.481059807,-187097.1164769625
c3d3d5b8e698e2f,-187559.390966094,-187097.22421513803
cfa3a60a5fa929b,-187559.221979233,-187096.9518865447
