id,PBE+MBD(eV),MACE-OFF23(L)(eV)
98f018e9b2a7d8d,-70629.708539541,-70661.9791831529
20ce6e221825ca0,-70629.679745581,-70661.92804896069
210d54330873811,-70629.460866855,-70661.81212955025
5dd09f079fb7ce9,-70629.405596548,-70661.63331503216
140bed154ee0e77,-70629.318580816,-70661.42394691463
1425f888b558fc2,-70629.2772594078,-70661.63868070247
8788731becb04e3,-70629.2651329467,-70661.6367529112
8712b8b076f3787,-70629.260562701,-70661.59074669688
5003ed2e9bac010,-70629.197548284,-70661.43990123773
87b248d6ea3b8cd,-70629.1942324425,-70661.40268694275
b2d6f25be73bafc,-70629.18649685,-70661.66957364834
54fbcf7e38e9475,-70629.1848807807,-70661.68922379667
cf552df828ce5d5,-70629.179104583,-70661.35515045888
91197f3978e785c,-70629.1734557489,-70661.4363700163
c5dd993ba535597,-70629.169405208,-70661.7538485341
1444f391ddc555c,-70629.168578484,-70661.68876180517
8d896fcc97d1fb1,-70629.1585675492,-70661.373417513
17422eac1830d1f,-70629.126762723,-70661.38596142374
af81aa39ca46b09,-70629.0749072523,-70661.32368953394
a3cd42c512a79c3,-70629.063110462,-70661.65194704493
aa8457cbef1434c,-70629.058976732,-70661.11965236608
a080c6707b9f8c0,-70629.040486355,-70661.58188511756
ec18537c0bdb8c2,-70629.03552225,-70660.60243882723
5fabeaa3496442b,-70629.0303945145,-70661.28215375698
5dc6e77d661c835,-70629.0273406215,-70661.36452732155
3dd8b0112fa42be,-70629.025160169,-70661.3908686537
2df40f5d6dcbcd9,-70629.021997514,-70661.2782571923
ba2fb056ec73656,-70628.9977429837,-70661.24016625597
baf0488a36b198f,-70628.9680038519,-70661.17828090122
a8da13f0d649cb8,-70628.9454607709,-70661.06770142708
bc18250752c1713,-70628.9208399691,-70661.30274757436
5854fb1cbe80b8f,-70628.918034468,-70661.26547499391
261b33bf3620fc4,-70628.9052513397,-70661.41139624432
a3a3bd12401d3b5,-70628.9033191825,-70660.80950779193
affcbf880c38a3b,-70628.9008722926,-70661.22605532524
e96ca3eadf16743,-70628.893504472,-70661.45807588752
c47a2b2889f0b23,-70628.8775739821,-70661.34404639284
c3acf53dc78b375,-70628.877127557,-70661.39317442717
8c1d8fae0a9b6a2,-70628.8672170111,-70661.40863009002
6373ae707c16ca9,-70628.8622897988,-70661.34062320931
ea5a09273685399,-70628.8453355518,-70661.14383045919
477c3c797f3bff4,-70628.7986921372,-70661.20700149026
fd1fb0a49ccafc5,-70628.798293367,-70661.25860116204
2a1a0b81c436038,-70628.7955587344,-70659.82243986121
c86635a425fb844,-70628.7806957602,-70660.87444636528
55b9d5a7b93bce9,-70628.7796044503,-70661.07955636088
c42b1d726d20033,-70628.777393236,-70660.5943028472
d466b479ea027dd,-70628.7751260896,-70661.02048288367
8a87a3cbbcce979,-70628.7729895676,-70661.31082232023
d5e5f0aaea689e3,-70628.7090819949,-70661.0610431149
101fdb416202173,-70628.686750795,-70661.32828192953
d04cef92033d6db,-70628.6668455981,-70661.07674587947
1bbc3fa730f360f,-70628.6587842644,-70660.60166172075
3ecf9bcac3b26ac,-70628.6529653064,-70660.88662066676
5ddf570cfbab92e,-70628.6484157824,-70661.19463441378
8879896470a87b4,-70628.6043462298,-70661.1484735815
366d524b33cfd6b,-70628.6036081214,-70661.07289842963
71c2e26d52310bc,-70628.5943545384,-70661.13546006792
785405fba567e1e,-70628.5772401529,-70660.85056089333
c72f72ddebcce65,-70628.5698539121,-70660.93152036445
877b4b8c443ba5c,-70628.532487798,-70660.83508596376
b7b0dab3883da16,-70628.5319478572,-70661.0518509937
2536210946dc860,-70628.5177091988,-70660.79476872266
291486ccc9495c3,-70628.4866407547,-70660.36849665556
e87d1c7e7c421c7,-70628.457130342,-70660.83262671786
1fe15b0e87b2236,-70628.4556431948,-70660.8991981707
dbded60c3a45ac3,-70628.4518067413,-70660.37347880729
c5784f97a96ee4d,-70628.4516637601,-70660.49579946531
3e1f121a7c446b3,-70628.4393109037,-70660.16212634843
9e161c7f7cd4578,-70628.4168831235,-70660.96587665139
61dc2f2c2bf1601,-70628.4091384102,-70660.6874411554
76738969b02a56d,-70628.4013349408,-70659.94580834055
17c3c92c765cf,-70628.3857478742,-70659.97165762587
16c94f1009a3ac6,-70628.382979416,-70660.4890039366
11e6b73135a049a,-70628.3628410259,-70660.5305911436
618d93be71098b3,-70628.3433341847,-70660.40158949517
9fa53d42d9a9c3c,-70628.3173134484,-70660.71814200583
26d55c8aa163690,-70628.2762433414,-70660.63534662631
738e821f4dc7a5d,-70628.2745705555,-70660.51106182685
9266fbec490976b,-70628.259493371,-70660.31024644492
de4bbb19c12c18f,-70628.2359760003,-70660.47617795333
e8d9251a8225d8f,-70628.233773778,-70660.55514142399
b69eafd29df9396,-70628.2303409174,-70660.50195538941
12f6a1af276d1cd,-70628.2134109028,-70660.310954485
afdaea154b75e77,-70628.1808511692,-70660.20263009045
b29941649e2b9e0,-70628.1639398164,-70660.49914579335
86f2e0bfadbf3e7,-70628.1476010382,-70660.35174857666
5281f482792920d,-70628.1399889505,-70659.32612260747
38da4111a812b68,-70628.130115855,-70660.40395854496
a4af2ba06d2340b,-70628.1119223692,-70660.7123540205
2e9c9528d8b2a04,-70628.0869690398,-70660.11370406483
8b98bbc5b1238c4,-70628.085714986,-70659.81770178172
75d8a015ac43f0b,-70628.0771233936,-70660.39959211281
be1b44c75a83252,-70628.0440531586,-70660.43109866483
995fa774615045f,-70628.0267419359,-70660.45967739467
95a2305d991dd7c,-70627.9959942526,-70660.03303324763
78da7f38133d308,-70627.9625236906,-70659.6022803156
3be033b282d0636,-70627.9434886936,-70660.47335209165
51c813b8b311d8c,-70627.9207338056,-70660.37016349247
e608b82994452b8,-70627.8615506116,-70660.30416634528
2a9e9e8d240f542,-70627.8461087964,-70660.19241406197
1a6005ef3b022ef,-70627.8297119117,-70660.21098852636
e7001163aa38594,-70627.8277626921,-70660.19615680618
35561788c86a0af,-70627.8260226742,-70660.21680968688
1e3f28849db40a0,-70627.7894731277,-70660.25971802659
11c94376a8a929e,-70627.754210546,-70658.95432353881
c8940731c262cbf,-70627.7296663797,-70659.6981702613
8646782c353540d,-70627.6811186417,-70660.14215891653
264522c0ba72335,-70627.6566346775,-70660.15506119332
192603d95f6dbd4,-70627.6396172109,-70659.98574033997
8723131ff76e2cd,-70627.6326346606,-70659.90697790205
43059c728e3549e,-70627.5911288661,-70660.18454477502
9d4e45dde5094a0,-70627.5532357484,-70659.70659412994
949bd12e31a260f,-70627.5458884273,-70659.8643112444
aab75fac6cdba73,-70627.5436073191,-70659.9175976332
9a247761b4e9f2f,-70627.5420108744,-70659.84698136852
5a2f95611d8c662,-70627.5328619798,-70659.91506667476
2274bc089136a4f,-70627.5086293715,-70660.04273001595
b5378e7684f524,-70627.4576899786,-70659.94098416522
58ab7901c0e32a4,-70627.45061462,-70659.90547337661
2242633b9b1a312,-70627.372548566,-70659.80170639629
38c29991eb6e45f,-70627.3700275634,-70659.68308466424
cbb1129be5ff561,-70627.3199444904,-70659.82634475427
78219db9fbcf96a,-70627.2346577674,-70659.78842197587
fe404f0c22ab5d7,-70627.2232877758,-70659.74760595988
a0b7dc9b23c0c8e,-70627.0113847951,-70659.60478982293
269a25b59df9f7c,-70626.171953764,-70658.74606068482
